id,name,cover_image,gallery,short_description,detailed_description,category,storage_transport,price_range,trusted_places,average_rating,review_count,created_at,updated_at
fc790074-70e4-4b30-a7f2-f94cf8aaf6b4,Phu Quoc fish sauce,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Red_Boat_50_Phamily_Reserve_in_a_bowl_%28cropped1%29.jpg/1280px-Red_Boat_50_Phamily_Reserve_in_a_bowl_%28cropped1%29.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Red_Boat_50_Phamily_Reserve_in_a_bowl_%28cropped1%29.jpg/1280px-Red_Boat_50_Phamily_Reserve_in_a_bowl_%28cropped1%29.jpg""]",Phu Quoc fish sauce is a variety of fish sauce in Vietnamese cuisine made from fermented black anchovies. It is produced in Phu Quoc island in southwest Vietnam and the 21 islet...,Phu Quoc fish sauce is a variety of fish sauce in Vietnamese cuisine made from fermented black anchovies. It is produced in Phu Quoc island in southwest Vietnam and the 21 islets surrounding it. Traditional production dates back centuries.,local specialty,,,,,0,,
1ec799b8-af6e-41b5-98b0-e9e443b89186,Nón lá,https://upload.wikimedia.org/wikipedia/commons/c/cb/ThreeNonLa.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/c/cb/ThreeNonLa.jpg""]",Nón lá ( chữ Nôm : 𥶄蘿 ; lit. ' Leaf hat ' ) or nón tơi ( 𥶄𥵖 ) is a type of Vietnamese headwear used to shield the face from the sun and rain . [ 1 ] It is a common name for many...,"Nón lá ( chữ Nôm : 𥶄蘿 ; lit. ' Leaf hat ' ) or nón tơi ( 𥶄𥵖 ) is a type of Vietnamese headwear used to shield the face from the sun and rain . [ 1 ] It is a common name for many types of hats in Vietnam, but now it is mainly used to refer to cones with pointed tips.",local specialty,,,,,0,,
0315dce8-fb97-49ff-8d6a-982181ab1086,Áo dài,https://upload.wikimedia.org/wikipedia/commons/1/1a/%C3%81o_d%C3%A0i_hoa_ph%C6%B0%E1%BB%A3ng_-_Ph%C3%A1t_Tr%C6%B0%C6%A1ng_-_51231007393_%28cropped%29.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/1/1a/%C3%81o_d%C3%A0i_hoa_ph%C6%B0%E1%BB%A3ng_-_Ph%C3%A1t_Tr%C6%B0%C6%A1ng_-_51231007393_%28cropped%29.jpg""]","Áo dài ( English: / ˈ aʊ ˈ z aɪ / ; Vietnamese: [ʔaːw˧˦ zaːj˨˩] ( North ) , [ʔaːw˦˥ jaːj˨˩] ( South ) , lit. “long tunic”) [ 1 ] [ 2 ] [ 3 ] [ 4 ] is a traditional Vietnamese ou...","Áo dài ( English: / ˈ aʊ ˈ z aɪ / ; Vietnamese: [ʔaːw˧˦ zaːj˨˩] ( North ) , [ʔaːw˦˥ jaːj˨˩] ( South ) , lit. “long tunic”) [ 1 ] [ 2 ] [ 3 ] [ 4 ] is a traditional Vietnamese outfit consisting of a long split tunic worn over silk trousers. It can serve as formalwear for both men and women.",local specialty,,,,,0,,
fe9f4f16-1707-45ca-ac9b-3d839c5a8ef6,Bánh pía,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/B%C3%A1nh_p%C3%ADa_new.jpg/1280px-B%C3%A1nh_p%C3%ADa_new.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/B%C3%A1nh_p%C3%ADa_new.jpg/1280px-B%C3%A1nh_p%C3%ADa_new.jpg""]","Bánh pía , sometimes spelled as bánh bía , is a type of Vietnamese bánh (translated loosely as ""cake"" or ""bread""). A Suzhou style mooncake adapted from Teochew cuisine , called...","Bánh pía , sometimes spelled as bánh bía , is a type of Vietnamese bánh (translated loosely as ""cake"" or ""bread""). A Suzhou style mooncake adapted from Teochew cuisine , called ""lâ-piáⁿ"" (朥餅, Teochew Peng'im : la⁵ bian²). The Vietnamese name comes from the Teochew word for pastry, pia (餅 or 餠, Peng'im : bian², POJ : piáⁿ, round flat cake, pastry, cookie, biscuit).",local specialty,,,,,0,,
f8b21af1-213b-4731-98b4-ee34f172f792,Bánh tráng,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Nems_wafer_DSC04723.JPG/1280px-Nems_wafer_DSC04723.JPG,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Nems_wafer_DSC04723.JPG/1280px-Nems_wafer_DSC04723.JPG""]","Bánh tráng , a Vietnamese term (literally, coated bánh ), sometimes called rice paper wrappers , rice crepes , rice wafers or nem wrappers , are edible Vietnamese wrappers used...","Bánh tráng , a Vietnamese term (literally, coated bánh ), sometimes called rice paper wrappers , rice crepes , rice wafers or nem wrappers , are edible Vietnamese wrappers used in Vietnamese cuisine , primarily in finger foods and appetizers such as Vietnamese nem dishes. The term rice paper wrappers can sometimes be a misnomer, as some banh trang wrappers are made from rice flour supplemented with tapioca flour or sometimes replaced completely with tapioca starch. [ 1 ] [ 2 ] The roasted version is bánh tráng nướng . [ 3 ]",local specialty,,,,,0,,
5b3c3773-2df6-49b8-af9b-969f867b406d,Coconut candy,https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Keodua.jpg/1280px-Keodua.jpg,"[""https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Keodua.jpg/1280px-Keodua.jpg""]",Coconut candy refer to various candies made with coconut or coconut flavorings.,Coconut candy refer to various candies made with coconut or coconut flavorings.,local specialty,,,,,0,,
2e1b8f62-890c-41d2-953f-8cc62e10e0d4,Bánh đậu xanh,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Banh_dau_xanh.jpg/1280px-Banh_dau_xanh.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Banh_dau_xanh.jpg/1280px-Banh_dau_xanh.jpg""]","Bánh đậu xanh ( chữ Nôm : 𩚵豆靑, mung bean pastry) is a type of bánh in Vietnamese and Chinese cuisine . [ 1 ] It is a specialty of Hải Dương province . Lüdou gao (绿豆糕, mung bean...","Bánh đậu xanh ( chữ Nôm : 𩚵豆靑, mung bean pastry) is a type of bánh in Vietnamese and Chinese cuisine . [ 1 ] It is a specialty of Hải Dương province . Lüdou gao (绿豆糕, mung bean pastry) and lüdou huang (綠豆黄) are two types of mung bean pastries, with the former being dry and the latter being wet and fermented.",local specialty,,,,,0,,
3e8b586b-48af-415c-80c7-a3aa57f57313,Pho,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Bowl_of_Meatball_pho.jpg/1280px-Bowl_of_Meatball_pho.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Bowl_of_Meatball_pho.jpg/1280px-Bowl_of_Meatball_pho.jpg""]","Pho ( Vietnamese : phở ⓘ ) is a Vietnamese soup dish consisting of broth , rice noodles ( bánh phở ), herbs , and meat – usually beef ( phở bò ), and sometimes chicken ( phở gà...","Pho ( Vietnamese : phở ⓘ ) is a Vietnamese soup dish consisting of broth , rice noodles ( bánh phở ), herbs , and meat – usually beef ( phở bò ), and sometimes chicken ( phở gà ). [ 7 ] [ 8 ] Pho is a popular food in Vietnam [ 9 ] where it is served in households, street-stalls, and restaurants nationwide. Residents of the city of Nam Định were the first to create Vietnamese traditional pho. [ 10 ]",local specialty,,,,,0,,
dce48990-188a-416e-ac49-b1287c2ac710,Bánh chưng,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Banh_chung_vuong.jpg/960px-Banh_chung_vuong.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Banh_chung_vuong.jpg/960px-Banh_chung_vuong.jpg""]","Bánh chưng or banh chung is a traditional Vietnamese dish which is made from glutinous rice , mung beans , pork , and other ingredients. [ 1 ]","Bánh chưng or banh chung is a traditional Vietnamese dish which is made from glutinous rice , mung beans , pork , and other ingredients. [ 1 ]",local specialty,,,,,0,,
